subject,session,TrialNumber,gestures,target,corrAns,condition,gestureSet,ran,order,RT,answer,correct
AN05CA,1,61,gestures/boy_S.mp4,t-sh_rt,i,G,boy,1,60,1.502729,i,TRUE
AN05CA,1,62,gestures/horse_S.mp4,mo_th,u,G,horse,1,61,1.6945466,o,FALSE
AN05CA,1,63,gestures/car_S.mp4,whe_l,e,G,car,1,62,1.8183491,e,TRUE
AN05CA,1,64,gestures/horse_S.mp4,h_ad,e,G,horse,1,63,1.7755225,e,TRUE
AN05CA,2,1,gestures/horse_S.mp4,h_ad,e,G,horse,1,0,1.9237143,e,TRUE
AN05CA,2,2,gestures/car_S.mp4,m_ve,o,G,car,1,1,1.4607458,o,TRUE
AN05CA,2,3,gestures/baby_S.mp4,t_ddy,e,G,baby,1,2,1.4240531,e,TRUE
AN05CA,2,4,gestures/cat_S.mp4,n_se,o,G,cat,1,3,1.500472,o,TRUE
AN05CA,2,5,gestures/frog_S.mp4,j_mp,u,G,frog,1,4,1.6676143,u,TRUE
AN05CA,2,6,gestures/horse_S.mp4,k_ck,i,G,horse,1,5,1.3561267,i,TRUE
AN05CA,2,7,gestures/boy_S.mp4,w_ve,a,G,boy,1,6,2.1262596,a,TRUE
AN05CA,2,8,gestures/cat_S.mp4,ta_l,i,G,cat,1,7,1.4159598,i,TRUE
AN05CA,2,9,gestures/horse_S.mp4,w_lk,a,G,horse,1,8,1.1767383,a,TRUE
AN05CA,2,10,gestures/car_S.mp4,whe_l,e,G,car,1,9,2.5148084,e,TRUE
AN05CA,2,11,gestures/dog_S.mp4,to_th,o,G,dog,1,10,1.3215477,o,TRUE
AN05CA,2,12,gestures/dog_S.mp4,n_ck,e,G,dog,1,11,1.4385705,e,TRUE
AN05CA,2,13,gestures/baby_S.mp4,cr_wl,a,G,baby,1,12,1.3722152,a,TRUE
AN05CA,2,14,gestures/girl_S.mp4,ha_r,i,G,girl,1,13,3.288903,a,FALSE
AN05CA,2,15,gestures/car_S.mp4,wind_w,o,G,car,1,14,1.5571115,o,TRUE
AN05CA,2,16,gestures/baby_S.mp4,bl_nket,a,G,baby,1,15,1.2885718,a,TRUE
AN05CA,2,17,gestures/boy_S.mp4,po_nt,i,G,boy,1,16,1.1166555,i,TRUE
AN05CA,2,18,gestures/horse_S.mp4,mo_th,u,G,horse,1,17,3.5267835,u,TRUE
AN05CA,2,19,gestures/boy_S.mp4,bo_k,o,G,boy,1,18,1.6038891,o,TRUE
AN05CA,2,20,gestures/girl_S.mp4,dr_ss,e,G,girl,1,19,1.370316,e,TRUE
AN05CA,2,21,gestures/boy_S.mp4,t-sh_rt,i,G,boy,1,20,1.8339837,i,TRUE
AN05CA,2,22,gestures/car_S.mp4,cr_sh,a,G,car,1,21,1.3139518,a,TRUE
