"","subject","TrialNumber","gestures","target","corrAns","condition","gestureSet","ran","order","RT","answer","correct","age"
"33","A15",33,"gestures/dog_S.mp4","n_ck","e","G","dog",1,32,2.6942909,"e",TRUE,15
"34","A15",34,"gestures/car_S.mp4","cr_sh","a","G","car",1,33,1.198663,"a",TRUE,15
"35","A15",35,"gestures/dog_S.mp4","b_rk","a","G","dog",1,34,14.691392,"o",FALSE,15
"36","A15",36,"gestures/baby_S.mp4","cr_wl","a","G","baby",1,35,1.4006249,"a",TRUE,15
"37","A15",37,"gestures/car_S.mp4","whe_l","e","G","car",1,36,1.5486573,"e",TRUE,15
"38","A15",38,"gestures/boy_S.mp4","bo_k","o","G","boy",1,37,1.4722515,"o",TRUE,15
"39","A15",39,"gestures/boy_S.mp4","w_ve","a","G","boy",1,38,1.4025164,"a",TRUE,15
"40","A15",40,"gestures/cat_S.mp4","ta_l","i","G","cat",1,39,1.8325022,"i",TRUE,15
"41","A15",41,"gestures/girl_S.mp4","wh_stle","i","G","girl",1,40,1.5550284,"i",TRUE,15
"42","A15",42,"gestures/baby_S.mp4","sm_le","i","G","baby",1,41,1.2659317,"i",TRUE,15
"43","A15",43,"gestures/boy_S.mp4","po_nt","i","G","boy",1,42,1.645361,"i",TRUE,15
"44","A15",44,"gestures/cat_S.mp4","n_se","o","G","cat",1,43,1.3308591,"o",TRUE,15
"45","A15",45,"gestures/girl_S.mp4","ha_r","i","G","girl",1,44,1.5607005,"i",TRUE,15
"46","A15",46,"gestures/baby_S.mp4","bl_nket","a","G","baby",1,45,1.7264385,"a",TRUE,15
"47","A15",47,"gestures/dog_S.mp4","pl_y","a","G","dog",1,46,1.1778909,"a",TRUE,15
"48","A15",48,"gestures/frog_S.mp4","j_mp","u","G","frog",1,47,1.6299304,"u",TRUE,15
"49","A15",49,"gestures/cat_S.mp4","lo_k","o","G","cat",1,48,1.3199885,"o",TRUE,15
"50","A15",50,"gestures/girl_S.mp4","h_g","u","G","girl",1,49,1.6374755,"u",TRUE,15
"51","A15",51,"gestures/car_S.mp4","wind_w","o","G","car",1,50,1.4200374,"o",TRUE,15
"52","A15",52,"gestures/frog_S.mp4","tong_e","u","G","frog",1,51,2.1486251,"u",TRUE,15
"53","A15",53,"gestures/frog_S.mp4","fo_t","o","G","frog",1,52,1.6534789,"o",TRUE,15
"54","A15",54,"gestures/horse_S.mp4","w_lk","a","G","horse",1,53,1.448716,"a",TRUE,15
"55","A15",55,"gestures/boy_S.mp4","t-sh_rt","i","G","boy",1,54,1.6448345,"i",TRUE,15
"56","A15",56,"gestures/horse_S.mp4","mo_th","u","G","horse",1,55,1.7911294,"u",TRUE,15
"57","A15",57,"gestures/horse_S.mp4","k_ck","i","G","horse",1,56,1.6069157,"i",TRUE,15
"58","A15",58,"gestures/dog_S.mp4","to_th","o","G","dog",1,57,1.9849232,"u",FALSE,15
"59","A15",59,"gestures/baby_S.mp4","t_ddy","e","G","baby",1,58,3.3135817,"a",FALSE,15
"60","A15",60,"gestures/car_S.mp4","m_ve","o","G","car",1,59,1.6235988,"o",TRUE,15
"61","A15",61,"gestures/cat_S.mp4","sl_ep","e","G","cat",1,60,2.3815053,"e",TRUE,15
"62","A15",62,"gestures/frog_S.mp4","list_n","e","G","frog",1,61,1.8007617,"e",TRUE,15
"63","A15",63,"gestures/girl_S.mp4","dr_ss","e","G","girl",1,62,1.5600649,"e",TRUE,15
"64","A15",64,"gestures/horse_S.mp4","h_ad","e","G","horse",1,63,2.5211852,"e",TRUE,15
"65","A19",1,"gestures/baby_S.mp4","cr_wl","a","G","baby",1,0,4.9287944,"a",TRUE,19
"66","A19",2,"gestures/girl_S.mp4","ha_r","i","G","girl",1,1,3.1936762,"i",TRUE,19
"67","A19",3,"gestures/boy_S.mp4","w_ve","a","G","boy",1,2,2.307956,"a",TRUE,19
"68","A19",4,"gestures/cat_S.mp4","ta_l","i","G","cat",1,3,5.3218985,"i",TRUE,19
"69","A19",5,"gestures/cat_S.mp4","n_se","o","G","cat",1,4,2.073735,"o",TRUE,19
"70","A19",6,"gestures/car_S.mp4","m_ve","o","G","car",1,5,5.277809,"o",TRUE,19
"71","A19",7,"gestures/frog_S.mp4","list_n","e","G","frog",1,6,4.2731,"e",TRUE,19
