"","subject","TrialNumber","gestures","target","corrAns","condition","gestureSet","ran","order","RT","answer","correct"
"262","D05",6,"gestures/cat_S.mp4","sl_ep","e","G","cat",1,5,1.1414523,"e",TRUE
"263","D05",7,"gestures/cat_S.mp4","ta_l","i","G","cat",1,6,0.8328982,"i",TRUE
"264","D05",8,"gestures/baby_S.mp4","bl_nket","a","G","baby",1,7,0.9698444,"a",TRUE
"265","D05",9,"gestures/car_S.mp4","cr_sh","a","G","car",1,8,0.858704,"a",TRUE
"266","D05",10,"gestures/girl_S.mp4","wh_stle","i","G","girl",1,9,0.82999176,"i",TRUE
"267","D05",11,"gestures/horse_S.mp4","w_lk","a","G","horse",1,10,0.92679757,"a",TRUE
"268","D05",12,"gestures/horse_S.mp4","mo_th","u","G","horse",1,11,0.8602051,"u",TRUE
"269","D05",13,"gestures/frog_S.mp4","tong_e","u","G","frog",1,12,0.8454276,"u",TRUE
"270","D05",14,"gestures/horse_S.mp4","k_ck","i","G","horse",1,13,0.7656634,"i",TRUE
"271","D05",15,"gestures/cat_S.mp4","n_se","o","G","cat",1,14,1.0081145,"o",TRUE
"272","D05",16,"gestures/frog_S.mp4","j_mp","u","G","frog",1,15,0.93989694,"u",TRUE
"273","D05",17,"gestures/cat_S.mp4","lo_k","o","G","cat",1,16,0.7583278,"o",TRUE
"274","D05",18,"gestures/horse_S.mp4","h_ad","e","G","horse",1,17,1.1391715,"e",TRUE
"275","D05",19,"gestures/boy_S.mp4","t-sh_rt","i","G","boy",1,18,0.82838106,"i",TRUE
"276","D05",20,"gestures/boy_S.mp4","po_nt","i","G","boy",1,19,0.7636742,"i",TRUE
"277","D05",21,"gestures/car_S.mp4","wind_w","o","G","car",1,20,1.05165,"o",TRUE
"278","D05",22,"gestures/baby_S.mp4","cr_wl","a","G","baby",1,21,0.98550516,"a",TRUE
"279","D05",23,"gestures/dog_S.mp4","to_th","o","G","dog",1,22,1.0144132,"o",TRUE
"280","D05",24,"gestures/frog_S.mp4","list_n","e","G","frog",1,23,1.0214419,"e",TRUE
"281","D05",25,"gestures/girl_S.mp4","h_g","u","G","girl",1,24,1.1317062,"u",TRUE
"282","D05",26,"gestures/car_S.mp4","whe_l","e","G","car",1,25,0.940834,"e",TRUE
"283","D05",27,"gestures/boy_S.mp4","w_ve","a","G","boy",1,26,0.84484214,"a",TRUE
"284","D05",28,"gestures/dog_S.mp4","b_rk","a","G","dog",1,27,0.82732594,"a",TRUE
"285","D05",29,"gestures/dog_S.mp4","n_ck","e","G","dog",1,28,1.1766472,"e",TRUE
"286","D05",30,"gestures/dog_S.mp4","pl_y","a","G","dog",1,29,0.85212517,"a",TRUE
"287","D05",31,"gestures/girl_S.mp4","dr_ss","e","G","girl",1,30,0.85933834,"e",TRUE
"288","D05",32,"gestures/baby_S.mp4","t_ddy","e","G","baby",1,31,0.80305934,"e",TRUE
"289","D05",33,"gestures/frog_POS.mp4","tong_e","u","S","frog",1,32,0.8976825,"u",TRUE
"290","D05",34,"gestures/dog_PL.mp4","b_rk","a","S","dog",1,33,1.002917,"a",TRUE
"291","D05",35,"gestures/cat_POS.mp4","n_se","o","S","cat",1,34,0.92438084,"o",TRUE
"292","D05",36,"gestures/boy_POS.mp4","bo_k","o","S","boy",1,35,0.7718395,"o",TRUE
"293","D05",37,"gestures/girl_PL.mp4","h_g","u","S","girl",1,36,0.86307096,"u",TRUE
"294","D05",38,"gestures/car_POS.mp4","whe_l","e","S","car",1,37,0.9960264,"e",TRUE
"295","D05",39,"gestures/frog_PL.mp4","list_n","e","S","frog",1,38,0.9695724,"e",TRUE
"296","D05",40,"gestures/cat_PL.mp4","sl_ep","e","S","cat",1,39,0.77027005,"e",TRUE
"297","D05",41,"gestures/horse_PL.mp4","w_lk","a","S","horse",1,40,0.92101526,"a",TRUE
"298","D05",42,"gestures/baby_PL.mp4","sm_le","i","S","baby",1,41,0.93989545,"i",TRUE
"299","D05",43,"gestures/car_PL.mp4","cr_sh","a","S","car",1,42,0.8003497,"a",TRUE
"300","D05",44,"gestures/car_PL.mp4","m_ve","o","S","car",1,43,1.2441086,"o",TRUE
"301","D05",45,"gestures/dog_POS.mp4","n_ck","e","S","dog",1,44,1.0006546,"e",TRUE
"302","D05",46,"gestures/boy_PL.mp4","po_nt","i","S","boy",1,45,0.7862147,"i",TRUE
"303","D05",47,"gestures/dog_PL.mp4","pl_y","a","S","dog",1,46,0.88692063,"a",TRUE
"304","D05",48,"gestures/baby_POS.mp4","t_ddy","e","S","baby",1,47,0.8457711,"e",TRUE
"305","D05",49,"gestures/frog_POS.mp4","fo_t","o","S","frog",1,48,0.83729476,"o",TRUE
"306","D05",50,"gestures/frog_PL.mp4","j_mp","u","S","frog",1,49,0.8331912,"u",TRUE
"307","D05",51,"gestures/boy_POS.mp4","t-sh_rt","i","S","boy",1,50,0.80330294,"i",TRUE
"308","D05",52,"gestures/cat_PL.mp4","lo_k","o","S","cat",1,51,0.8617716,"o",TRUE
"309","D05",53,"gestures/girl_POS.mp4","ha_r","i","S","girl",1,52,0.86723655,"i",TRUE
"310","D05",54,"gestures/girl_POS.mp4","dr_ss","e","S","girl",1,53,0.80978143,"e",TRUE
"311","D05",55,"gestures/cat_POS.mp4","ta_l","i","S","cat",1,54,0.9048778,"i",TRUE
"312","D05",56,"gestures/horse_POS.mp4","mo_th","u","S","horse",1,55,0.87171036,"u",TRUE
"313","D05",57,"gestures/horse_PL.mp4","k_ck","i","S","horse",1,56,0.77548605,"i",TRUE
"314","D05",58,"gestures/dog_POS.mp4","to_th","o","S","dog",1,57,0.9599978,"o",TRUE
